Date,Actual,Predicted,Best Alpha,Dual gap,Iterations
2022-12-06,248.825,288.7012359700049,0.015,1.2243410082255596e-05,626
2022-12-06,247.715,283.2474859700049,0.015,1.2243410082255596e-05,626
2022-12-06,250.0,282.7989145414332,0.015,1.2243410082255596e-05,626
2022-12-06,258.9,288.4414145414335,0.015,1.2243410082255596e-05,626
2022-12-06,292.11,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,326.435,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,356.93000000000006,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,382.12,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,373.57,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,353.86,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,346.505,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,349.72,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,349.18499999999995,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,354.38,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,379.36,313.1727532349595,0.015,1.2243410082255596e-05,626
2022-12-06,386.985,359.01293180638805,0.015,1.2243410082255596e-05,626
2022-12-06,370.9649999999999,347.412931806388,0.015,1.2243410082255596e-05,626
2022-12-06,344.78499999999997,302.7918603778166,0.015,1.2243410082255596e-05,626
2022-12-06,309.88,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,281.045,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,256.735,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,248.1,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,249.945,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-06,245.78,299.62939415605365,0.015,1.2243410082255596e-05,626
2022-12-07,235.385,297.27655265631165,0.015,1.0246688315998906e-05,801
2022-12-07,226.685,291.7974455134545,0.015,1.0246688315998906e-05,801
2022-12-07,226.75,291.1886955134543,0.015,1.0246688315998906e-05,801
2022-12-07,239.065,296.4488740848831,0.015,1.0246688315998906e-05,801
2022-12-07,255.78499999999997,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,269.145,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,307.445,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,349.5,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,355.11,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,346.99,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,345.735,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,348.245,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,348.9,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,351.595,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,388.695,323.41717706412317,0.015,1.0246688315998906e-05,801
2022-12-07,426.0,368.95235563555184,0.015,1.0246688315998906e-05,801
2022-12-07,412.165,356.93092706412324,0.015,1.0246688315998906e-05,801
2022-12-07,373.95000000000005,311.72503420698035,0.015,1.0246688315998906e-05,801
2022-12-07,328.31,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,286.61,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,258.86,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,252.55,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,254.72,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-07,249.695,308.27517959236025,0.015,1.0246688315998906e-05,801
2022-12-08,243.78,337.7694249215359,0.015,1.258669372575635e-05,1048
2022-12-08,242.115,332.39085349296454,0.015,1.258669372575635e-05,1048
2022-12-08,246.935,331.7715677786789,0.015,1.258669372575635e-05,1048
2022-12-08,257.235,336.8388892072502,0.015,1.258669372575635e-05,1048
2022-12-08,300.32,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,361.05,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,400.38,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,415.11,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,409.56500000000005,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,394.59,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,386.92999999999995,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,393.43,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,404.325,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,421.96000000000004,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,486.30000000000007,367.37379932934766,0.015,1.258669372575635e-05,1048
2022-12-08,531.645,413.4612993293475,0.015,1.258669372575635e-05,1048
2022-12-08,510.97,401.24844218649037,0.015,1.258669372575635e-05,1048
2022-12-08,459.69000000000005,355.28344218649045,0.015,1.258669372575635e-05,1048
2022-12-08,390.05500000000006,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,340.415,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,302.97,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,287.555,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,285.025,350.42942460570214,0.015,1.258669372575635e-05,1048
2022-12-08,278.26,350.2460320643931,0.015,1.258669372575635e-05,1048
2022-12-09,275.035,361.822947794049,0.015,1.6229486508774944e-05,689
2022-12-09,270.84,356.96080493690624,0.015,1.6229486508774944e-05,689
2022-12-09,273.27,356.7461620797633,0.015,1.6229486508774944e-05,689
2022-12-09,280.94999999999993,362.05241207976326,0.015,1.6229486508774944e-05,689
2022-12-09,323.9,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,399.56,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,456.4,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,474.39,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,447.53,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,418.53,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,413.6600000000001,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,414.6650000000001,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,423.07000000000005,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,430.89,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,460.91499999999996,397.4910722018607,0.015,1.6229486508774944e-05,689
2022-12-09,504.87,444.36214363043223,0.015,1.6229486508774944e-05,689
2022-12-09,493.80000000000007,431.88642934471784,0.015,1.6229486508774944e-05,689
2022-12-09,448.0350000000001,384.8025007732892,0.015,1.6229486508774944e-05,689
2022-12-09,396.75,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,355.49000000000007,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,323.64,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,288.88,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,272.965,377.32343557345325,0.015,1.6229486508774944e-05,689
2022-12-09,267.29,376.8740192226204,0.015,1.6229486508774944e-05,689
2022-12-10,259.895,331.8060287037296,0.015,5.3592856954096766e-05,498
2022-12-10,253.08,326.9192429894439,0.015,5.3592856954096766e-05,498
2022-12-10,251.44,327.04674298944394,0.015,5.3592856954096766e-05,498
2022-12-10,257.195,332.47442156087254,0.015,5.3592856954096766e-05,498
2022-12-10,271.18,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,287.365,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,309.33,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,338.875,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,350.61,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,340.61,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,332.37,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,331.76,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,339.33500000000004,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,358.24,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,386.24,370.970938825827,0.015,5.3592856954096766e-05,498
2022-12-10,413.29999999999995,418.1866531115413,0.015,5.3592856954096766e-05,498
2022-12-10,410.925,404.8186173972554,0.015,5.3592856954096766e-05,498
2022-12-10,375.81499999999994,356.2937959686842,0.015,5.3592856954096766e-05,498
2022-12-10,332.25,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,305.29,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,288.865,348.3266327349105,0.015,5.3592856954096766e-05,498
2022-12-10,282.81000000000006,347.56781441801525,0.015,5.3592856954096766e-05,498
2022-12-10,285.27,347.6753144180151,0.015,5.3592856954096766e-05,498
2022-12-10,278.725,343.3313858465865,0.015,5.3592856954096766e-05,498
2022-12-11,268.505,322.0957055984645,0.015,5.422589506039122e-05,546
2022-12-11,259.865,317.04606274132163,0.015,5.422589506039122e-05,546
2022-12-11,258.145,316.9310627413216,0.015,5.422589506039122e-05,546
2022-12-11,260.48,322.6671341698931,0.015,5.422589506039122e-05,546
2022-12-11,268.83,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,265.63,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,269.44,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,301.36,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,329.045,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,338.54,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,346.62999999999994,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,356.605,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,359.2900000000001,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,364.265,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,409.805,364.55150857770474,0.015,5.422589506039122e-05,546
2022-12-11,474.68000000000006,411.65615143484763,0.015,5.422589506039122e-05,546
2022-12-11,462.84000000000003,398.49150857770474,0.015,5.422589506039122e-05,546
2022-12-11,397.32000000000005,349.9845442919906,0.015,5.422589506039122e-05,546
2022-12-11,344.055,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,311.03,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,292.685,340.3799634757992,0.015,5.422589506039122e-05,546
2022-12-11,277.51,338.398384169893,0.015,5.422589506039122e-05,546
2022-12-11,269.365,338.1144555984645,0.015,5.422589506039122e-05,546
2022-12-11,267.395,333.715884169893,0.015,5.422589506039122e-05,546
2022-12-12,264.31,356.6809113040813,0.015,5.4215744150648825e-05,507
2022-12-12,260.135,351.53001844693847,0.015,5.4215744150648825e-05,507
2022-12-12,260.61,351.62769701836703,0.015,5.4215744150648825e-05,507
2022-12-12,271.585,357.6464470183669,0.015,5.4215744150648825e-05,507
2022-12-12,348.835,377.00835599460277,0.015,5.4215744150648825e-05,507
2022-12-12,578.51,377.00835599460277,0.015,5.4215744150648825e-05,507
2022-12-12,792.645,377.00835599460277,0.015,5.4215744150648825e-05,507
2022-12-12,780.6,377.00835599460277,0.015,5.4215744150648825e-05,507
2022-12-12,656.645,377.00835599460277,0.015,5.4215744150648825e-05,507
2022-12-12,593.565,377.00835599460277,0.015,5.4215744150648825e-05,507
