Date,Actual,Predicted,Best Alpha,Dual gap,Iterations
2022-12-06,248.825,241.10966630294388,0.0004,2.298235827867458e-05,1182
2022-12-06,247.715,228.36555427466374,0.0004,2.3422277874973994e-05,1209
2022-12-06,250.0,222.1818152100181,0.0004,1.789772472493567e-05,1515
2022-12-06,258.9,240.64388489353416,0.0004,2.9566581024681155e-05,1396
2022-12-06,292.11,292.7853078663546,0.0004,3.844183496979982e-05,2145
2022-12-06,326.435,328.35492498470694,0.0004,4.315194097505258e-05,3308
2022-12-06,356.93000000000006,340.9409034748213,0.0004,4.056405994766156e-05,2346
2022-12-06,382.12,350.79634227349175,0.0004,3.688177415249384e-05,3362
2022-12-06,373.57,341.9421275386562,0.0004,3.438531791576151e-05,2759
2022-12-06,353.86,334.54114566177327,0.0004,3.3426244649408806e-05,2604
2022-12-06,346.505,328.1936622420616,0.0004,3.3379562063943667e-05,2584
2022-12-06,349.72,328.52568719298745,0.0004,3.362157898306434e-05,3084
2022-12-06,349.18499999999995,332.7870980248779,0.0004,3.3641976749909895e-05,3049
2022-12-06,354.38,338.8046895352165,0.0004,3.8838540894618e-05,4267
2022-12-06,379.36,343.79302216285333,0.0004,5.36936079490787e-05,6791
2022-12-06,386.985,405.3642247528943,0.0004,9.26472470762679e-05,25396
2022-12-06,370.9649999999999,443.0203912519463,0.0004,9.297568043359411e-05,33305
2022-12-06,344.78499999999997,376.54499059403605,0.0004,6.273632263437561e-05,37709
2022-12-06,309.88,317.10866243941456,0.0004,4.663564814940106e-05,3566
2022-12-06,281.045,277.4289455411569,0.0004,3.5594540426182644e-05,2476
2022-12-06,256.735,258.252264872926,0.0004,2.8419021324866088e-05,2068
2022-12-06,248.1,249.73982125805068,0.0004,2.5798118657210386e-05,3434
2022-12-06,249.945,228.78667993124924,0.0004,2.463738327955474e-05,4198
2022-12-06,245.78,212.8943553713727,0.0004,2.359309207885677e-05,4211
2022-12-07,235.385,238.3205735208675,0.0004,2.3081112373831128e-05,1183
2022-12-07,226.685,229.4168873133179,0.0004,2.358026762982291e-05,1208
2022-12-07,226.75,227.84501035780187,0.0004,2.4974871106987472e-05,2114
2022-12-07,239.065,250.2832199136256,0.0004,2.9621990927164322e-05,1446
2022-12-07,255.78499999999997,303.25362854442653,0.0004,3.851589674178243e-05,2519
2022-12-07,269.145,339.1994931469321,0.0004,4.326547804428355e-05,3367
2022-12-07,307.445,355.23926256966024,0.0004,4.074127514325415e-05,2347
2022-12-07,349.5,361.1540992624428,0.0004,3.7147568254718503e-05,3464
2022-12-07,355.11,353.97826952838193,0.0004,3.472654092936681e-05,2889
2022-12-07,346.99,345.13438722952674,0.0004,3.367311844523738e-05,2614
2022-12-07,345.735,335.15817053293154,0.0004,3.369160302117809e-05,2538
2022-12-07,348.245,334.1404909991011,0.0004,3.389158265938978e-05,3031
2022-12-07,348.9,338.11858645806103,0.0004,3.511226554257403e-05,2639
2022-12-07,351.595,353.2650591719114,0.0004,3.908283774805572e-05,4109
2022-12-07,388.695,405.49513257581134,0.0004,5.38916733303372e-05,7907
2022-12-07,426.0,450.2863314615005,0.0004,9.278311838863266e-05,34026
2022-12-07,412.165,390.5101189603731,0.0004,9.301471177390288e-05,63549
2022-12-07,373.95000000000005,357.0496539278243,0.0004,6.276098556375446e-05,36762
2022-12-07,328.31,336.0488227690483,0.0004,4.670729576402126e-05,3694
2022-12-07,286.61,297.4362193400646,0.0004,3.560286294400773e-05,2504
2022-12-07,258.86,269.2514350088611,0.0004,2.8437324562599834e-05,2090
2022-12-07,252.55,260.23053828321406,0.0004,2.5836171321355842e-05,3487
2022-12-07,254.72,258.839774972138,0.0004,2.4702782100545878e-05,5555
2022-12-07,249.695,252.4484613370164,0.0004,2.366149943891657e-05,3017
2022-12-08,243.78,246.20229948664252,0.0004,2.310971520313948e-05,1196
2022-12-08,242.115,243.36972642133907,0.0004,2.3611436525757237e-05,1240
2022-12-08,246.935,248.52308046577312,0.0004,2.5018835196987243e-05,2196
2022-12-08,257.235,271.3439632993508,0.0004,2.9707212241343243e-05,1487
2022-12-08,300.32,315.0217040743176,0.0004,3.8542109319668475e-05,3736
2022-12-08,361.05,343.696825777727,0.0004,4.3273436287895884e-05,2419
2022-12-08,400.38,364.165268784005,0.0004,4.086137145964763e-05,2527
2022-12-08,415.11,374.01298933404445,0.0004,3.7334888958614265e-05,3710
2022-12-08,409.56500000000005,364.3417336882417,0.0004,3.4948273003523784e-05,2938
2022-12-08,394.59,348.9891173231843,0.0004,3.3914920718211044e-05,2575
2022-12-08,386.92999999999995,342.6766502468777,0.0004,3.386281827996931e-05,2611
2022-12-08,393.43,350.5247140051608,0.0004,3.415889187986264e-05,2903
2022-12-08,404.325,361.63066177365437,0.0004,3.541907456221955e-05,3005
2022-12-08,421.96000000000004,373.6798277963379,0.0004,3.931241545074049e-05,4419
2022-12-08,486.30000000000007,459.00120769124203,0.0004,5.417510656828169e-05,7045
2022-12-08,531.645,560.7011356730677,0.0004,9.302619868214798e-05,36244
2022-12-08,510.97,517.9871588612039,0.0004,9.318108272366204e-05,62206
2022-12-08,459.69000000000005,449.0432053618846,0.0004,6.287443272004875e-05,36737
2022-12-08,390.05500000000006,388.78172888435853,0.0004,4.677550355387454e-05,3597
2022-12-08,340.415,324.14258482839523,0.0004,3.5645281089682565e-05,2374
2022-12-08,302.97,289.90053439657925,0.0004,2.5239438104679372e-05,2612
2022-12-08,287.555,270.1986625760275,0.0004,2.5878400897211578e-05,2827
